BRANCH_CODE,BRANCH_NAME,DATE_OPENED,REGION_CODE,REGION_NAME,DISTRICT_CODE,DISTRICT_NAME,CORE_BANK,INPUTTER,AUTHORISER,TRANS_DATE,TRANS_TIME,AUDITOR_CODE,AUDIT_DATE_TIME,BRANCH_MNEMONIC
ET0010002,Adama Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010002,64_MUBSHER__OFS_BROWSERTC,36171_INPUTTER,28-Feb-18,10:21,,,ADM
ET0010005,Hora Arsedi Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010005,40091_ZERENDK__OFS_BROWSERTC,34679_INPUTTER,17-Aug-21,20:34,,,HRA
ET0010544,Qoche Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010544,20406_HABBEKU__OFS_BROWSERTC,81020_HABBEKU,13-Dec-21,14:39,,,QOC
ET0010523,Barecha Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010523,20613_HABBEKU__OFS_BROWSERTC,43564_HABBEKU,13-Dec-21,14:39,,,BCH
ET0010010,Hawas Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010010,12070_MUBSHER__OFS_BROWSERTC,93101_INPUTTER,24-Sep-18,14:55,,,HWS
ET0010018,Torban Obo Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010018,20783_MUBSHER__OFS_BROWSERTC,84250_INPUTTER,24-Oct-18,9:21,,,TRO
ET0010022,BoleNura Hera Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010022,20800_MUBSHER__OFS_BROWSERTC,84250_INPUTTER,27-Oct-18,10:50,,,BNH
ET0010024,Mojo Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010024,20767_MUBSHER__OFS_BROWSERTC,84250_INPUTTER,27-Oct-18,10:56,,,MJO
ET0010043,Meki Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010043,20802_MUBSHER__OFS_BROWSERTC,54712_INPUTTER,27-Oct-18,12:02,,,MKI
ET0010061,Gumbichu Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010061,40091_ZERENDK__OFS_BROWSERTC,8569_INPUTTER,17-Aug-21,20:34,,,GUM
ET0010076,Boku Shenen Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010076,21003_MUBSHER__OFS_BROWSERTC,88908_INPUTTER,28-Oct-18,10:13,,,BKS
ET0010168,Adea Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010168,40091_ZERENDK__OFS_BROWSERTC,25972_AUTHORISER,17-Aug-21,20:33,,,BDE
ET0010170,Dhaka Adi Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010170,21003_MUBSHER__OFS_BROWSERTC,25972_AUTHORISER,28-Oct-18,16:23,,,DHA
ET0010171,Kilole Branch,1-Jan-12,,OROMIA,2,ADAMA DISTRICT,ET0010171,40091_ZERENDK__OFS_BROWSERTC,25972_AUTHORISER,17-Aug-21,20:33,,,KLL
